жалоба;категория_срочности;направление_врача;
Сильная боль в груди, не могу дышать;Красный;
Высокая температура 39 уже три дня, сильный кашель, ломота в теле;Оранжевый;Терапевт
Хочу проверить родинку на спине, она немного изменилась;Зеленый;Дерматолог
У ребенка болит ухо и температура 37.8;Оранжевый;ЛОР
Упал с велосипеда, болит колено, не могу наступить на ногу;Оранжевый;Хирург/Травматолог
Плановый осмотр у гинеколога;Зеленый;Гинеколог
Кашель и насморк неделю, без температуры;Желтый;Терапевт
Резкая головная боль, онемение левой руки;Красный;Невролог
Сильная колющая боль в левой части груди, отдает в руку, тяжело дышать уже час;Красный;Кардиолог
У ребенка температура 38.5 второй день, вялый, насморк и немного кашляет;Оранжевый;Педиатр
Хочу записаться на плановый осмотр к гинекологу, беспокоит небольшая тянущая боль внизу живота;Желтый;Гинеколог
Порезал палец ножом, кровь не останавливается уже 30 минут;Красный;Хирург
Болит горло, трудно глотать, першение, особенно по утрам;Желтый;Терапевт
Закружилась голова, когда резко встал, чуть не упал, подобное повторяется уже несколько дней;Желтый;Невролог
Сильная зубная боль, отекает десна, больно есть;Оранжевый;Стоматолог
Появилась сыпь на коже и зудит, не проходит уже два дня;Желтый;Дерматолог
Боль внизу спины после физической нагрузки, отдает в ногу;Желтый;Невролог
Частые позывы к мочеиспусканию, жжение, неприятный запах мочи;Оранжевый;Уролог
Заметила, что на ноге появилось новое тёмное пятно, похоже на родинку;Зеленый;Дерматолог
После падения с лестницы сильно болит спина и сложно встать, боль усиливается при движении;Оранжевый;Хирург/Травматолог
Утром проснулась с головокружением и рвотой, не могу нормально стоять;Красный;Невролог
Планирую пройти обследование у гинеколога, иногда бывают нерегулярные месячные;Зеленый;Гинеколог
У ребёнка второй день сухой кашель, ночью усиливается, температуры нет, но жалуется на горло;Желтый;Педиатр
В течение недели постоянная боль в правом боку, особенно после еды;Оранжевый;Терапевт
Резко начало болеть горло, почти не могу говорить, высокая температура и озноб;Оранжевый;Терапевт
При мочеиспускании сильное жжение, часто бегаю в туалет, неприятный запах;Оранжевый;Уролог

